Designator Footprint               Mid X         Mid Y         Ref X         Ref Y         Pad X         Pad Y TB      Rotation Comment        

C376       CAPMP3528X120L      122.885mm     134.696mm     122.885mm     134.696mm     122.885mm     135.996mm  T        270.00 47uF           
C12        CAPC3225X200L        94.056mm     122.885mm      94.056mm     122.885mm      92.706mm     122.885mm  T        360.00 10uF           
C6         CAPMP3528X210L       93.929mm    119.7354mm      93.929mm    119.7354mm      95.229mm    119.7354mm  T        180.00 100uF          
C326       CAPMP7343X280L     103.3194mm    111.2696mm    103.3194mm    111.2696mm    103.3194mm    108.7446mm  T         90.00 330uF          
C307       CAPMP7343X280L       72.974mm     102.692mm      72.974mm     102.692mm      75.499mm     102.692mm  T        180.00 330uF          
C601       CAPC1005X55L        91.9492mm     94.4619mm     91.9492mm     94.4619mm     91.9492mm     94.9619mm  B        270.00 0.47uF         
C591       CAPC1005X55L        89.9746mm        94.5mm     89.9746mm        94.5mm     89.9746mm          95mm  B        270.00 0.47uF         
C581       CAPC1005X55L           98.5mm          99mm        98.5mm          99mm          98mm          99mm  B        360.00 0.47uF         
C559       CAPC1005X55L          100.5mm          99mm       100.5mm          99mm         100mm          99mm  B        360.00 0.47uF         
C552       CAPC1005X55L          105.5mm          99mm       105.5mm          99mm         106mm          99mm  B        180.00 0.47uF         
C551       CAPC1005X55L          107.5mm          99mm       107.5mm          99mm         108mm          99mm  B        180.00 0.47uF         
C541       CAPC1005X55L          111.5mm          99mm       111.5mm          99mm         112mm          99mm  B        180.00 0.47uF         
C531       CAPC1005X55L          112.5mm          97mm       112.5mm          97mm         113mm          97mm  B        180.00 0.47uF         
C521       CAPC1005X55L          118.5mm          97mm       118.5mm          97mm         119mm          97mm  B        180.00 0.47uF         
RP26       RESCAV50P100X200X45-8L       63.83mm      94.056mm       63.83mm      94.056mm       63.33mm      93.306mm  B        360.00 49R9           
RP25       RESCAV50P100X200X45-8L      45.542mm       98.12mm      45.542mm       98.12mm      46.042mm       98.87mm  B        180.00 49R9           
RP24       RESCAV50P100X200X45-8L      88.214mm      45.034mm      88.214mm      45.034mm      88.964mm      44.534mm  B         90.00 49R9           
RP23       RESCAV50P100X200X45-8L       84.15mm          27mm       84.15mm          27mm        83.4mm        27.5mm  B        270.00 49R9           
RP22       RESCAV50P100X200X45-8L       63.83mm     100.406mm       63.83mm     100.406mm       63.33mm      99.656mm  B        360.00 49R9           
RP21       RESCAV50P100X200X45-8L      45.542mm     100.406mm      45.542mm     100.406mm      46.042mm     101.156mm  B        180.00 49R9           
RP20       RESCAV50P100X200X45-8L      45.542mm      95.072mm      45.542mm      95.072mm      46.042mm      95.822mm  B        180.00 49R9           
RP19       RESCAV50P100X200X45-8L      81.864mm      45.034mm      81.864mm      45.034mm      82.614mm      44.534mm  B         90.00 49R9           
RP18       RESCAV50P100X200X45-8L      82.118mm          27mm      82.118mm          27mm      81.368mm        27.5mm  B        270.00 49R9           
RP17       RESCAV50P100X200X45-8L      87.706mm          27mm      87.706mm          27mm      86.956mm        27.5mm  B        270.00 49R9           
RP16       RESCAV50P100X200X45-8L     144.094mm      65.354mm     144.094mm      65.354mm     144.594mm      66.104mm  B        180.00 49R9           
RP15       RESCAV50P100X200X45-8L     162.382mm      61.544mm     162.382mm      61.544mm     161.882mm      60.794mm  B        360.00 49R9           
RP14       RESCAV50P100X200X45-8L     144.094mm      95.326mm     144.094mm      95.326mm     144.594mm      96.076mm  B        180.00 49R9           
RP13       RESCAV50P100X200X45-8L     162.382mm      91.516mm     162.382mm      91.516mm     161.882mm      90.766mm  B        360.00 49R9           
RP12       RESCAV50P100X200X45-8L     144.094mm      59.258mm     144.094mm      59.258mm     144.594mm      60.008mm  B        180.00 49R9           
RP11       RESCAV50P100X200X45-8L     162.382mm      59.258mm     162.382mm      59.258mm     161.882mm      58.508mm  B        360.00 49R9           
RP10       RESCAV50P100X200X45-8L     162.382mm        65.1mm     162.382mm        65.1mm     161.882mm       64.35mm  B        360.00 49R9           
RP9        RESCAV50P100X200X45-8L     144.094mm       89.23mm     144.094mm       89.23mm     144.594mm       89.98mm  B        180.00 49R9           
RP8        RESCAV50P100X200X45-8L     162.382mm      88.976mm     162.382mm      88.976mm     161.882mm      88.226mm  B        360.00 49R9           
RP7        RESCAV50P100X200X45-8L     162.382mm      95.072mm     162.382mm      95.072mm     161.882mm      94.322mm  B        360.00 49R9           
R272       RESC1005X40L        144.094mm       93.04mm     144.094mm       93.04mm     144.594mm       93.04mm  B        180.00 49R9           
