AC40,15,IO_L13P_SM14P_15
AD40,15,IO_L13N_SM14N_15
AD36,15,IO_L14P_15
AD35,15,IO_L14N_VREF_15
AD42,15,IO_L15P_SM15P_15
AE42,15,IO_L15N_SM15N_15
AC35,15,IO_L16P_VRN_15
AB34,15,IO_L16N_VRP_15
AF42,15,IO_L17P_15
AF41,15,IO_L17N_15
AC34,15,IO_L18P_15
AC33,15,IO_L18N_15
AE40,15,IO_L19P_15
AE39,15,IO_L19N_15
W37,16,IO_L0P_16
Y37,16,IO_L0N_16
U37,16,IO_L1P_16
U38,16,IO_L1N_16
W36,16,IO_L2P_16
V36,16,IO_L2N_16
U42,16,IO_L3P_16
U41,16,IO_L3N_16
AA36,16,IO_L4P_16
AA37,16,IO_L4N_VREF_16
U39,16,IO_L5P_16
V39,16,IO_L5N_16
W35,16,IO_L6P_16
V35,16,IO_L6N_16
V38,16,IO_L7P_16
W38,16,IO_L7N_16
AA35,16,IO_L8P_SRCC_16
Y35,16,IO_L8N_SRCC_16
W32,16,IO_L9P_MRCC_16
Y33,16,IO_L9N_MRCC_16
V34,16,IO_L10P_MRCC_16
U34,16,IO_L10N_MRCC_16
V40,16,IO_L11P_SRCC_16
W40,16,IO_L11N_SRCC_16
AA32,16,IO_L12P_VRN_16
Y32,16,IO_L12N_VRP_16
V41,16,IO_L13P_16
W41,16,IO_L13N_16
AA34,16,IO_L14P_16
Y34,16,IO_L14N_VREF_16
W42,16,IO_L15P_16
Y42,16,IO_L15N_16
U32,16,IO_L16P_16
U33,16,IO_L16N_16
Y40,16,IO_L17P_16
Y39,16,IO_L17N_16
V33,16,IO_L18P_16
W33,16,IO_L18N_16
Y38,16,IO_L19P_16
AA39,16,IO_L19N_16
M36,17,IO_L0P_17
M37,17,IO_L0N_17
L39,17,IO_L1P_17
L40,17,IO_L1N_17
M38,17,IO_L2P_17
M39,17,IO_L2N_17
L41,17,IO_L3P_17
L42,17,IO_L3N_17
N35,17,IO_L4P_17
N34,17,IO_L4N_VREF_17
N38,17,IO_L5P_17
N39,17,IO_L5N_17
N36,17,IO_L6P_17
P37,17,IO_L6N_17
M41,17,IO_L7P_17
M42,17,IO_L7N_17
R39,17,IO_L8P_SRCC_17
P38,17,IO_L8N_SRCC_17
P36,17,IO_L9P_MRCC_17
P35,17,IO_L9N_MRCC_17
T39,17,IO_L10P_MRCC_17
R38,17,IO_L10N_MRCC_17
N40,17,IO_L11P_SRCC_17
N41,17,IO_L11N_SRCC_17
R37,17,IO_L12P_VRN_17
T37,17,IO_L12N_VRP_17
P40,17,IO_L13P_17
P41,17,IO_L13N_17
R35,17,IO_L14P_17
R34,17,IO_L14N_VREF_17
P42,17,IO_L15P_17
R42,17,IO_L15N_17
U36,17,IO_L16P_17
T36,17,IO_L16N_17
R40,17,IO_L17P_17
T40,17,IO_L17N_17
T34,17,IO_L18P_17
T35,17,IO_L18N_17
T41,17,IO_L19P_17
T42,17,IO_L19N_17
AT26,21,IO_L0P_21
AU27,21,IO_L0N_21
AK22,21,IO_L1P_21
AJ22,21,IO_L1N_21
AY27,21,IO_L2P_21
AW27,21,IO_L2N_21
AM22,21,IO_L3P_21
AL22,21,IO_L3N_21
BA26,21,IO_L4P_21
BA27,21,IO_L4N_VREF_21
AJ23,21,IO_L5P_21
AK23,21,IO_L5N_21
BB26,21,IO_L6P_21
BB27,21,IO_L6N_21
AM23,21,IO_L7P_21
AN23,21,IO_L7N_21
AU23,21,IO_L8P_SRCC_21
AU24,21,IO_L8N_SRCC_21
AP25,21,IO_L9P_MRCC_21
AP26,21,IO_L9N_MRCC_21
AK24,21,IO_L10P_MRCC_21
AL25,21,IO_L10N_MRCC_21
AP23,21,IO_L11P_SRCC_21
AR23,21,IO_L11N_SRCC_21
AV24,21,IO_L12P_VRN_21
AV25,21,IO_L12N_VRP_21
AM24,21,IO_L13P_21
AL24,21,IO_L13N_21
BA25,21,IO_L14P_21
AY25,21,IO_L14N_VREF_21
AN24,21,IO_L15P_21
AN25,21,IO_L15N_21
AV26,21,IO_L16P_21
AU26,21,IO_L16N_21
AR24,21,IO_L17P_21
AT24,21,IO_L17N_21
AW25,21,IO_L18P_21
AW26,21,IO_L18N_21
AT25,21,IO_L19P_21
AR25,21,IO_L19N_21
AW30,22,IO_L0P_22
AV30,22,IO_L0N_22
AN26,22,IO_L1P_22
AP27,22,IO_L1N_22
AW31,22,IO_L2P_22
AV31,22,IO_L2N_22
AR28,22,IO_L3P_22
AP28,22,IO_L3N_22
AY32,22,IO_L4P_22
AW32,22,IO_L4N_VREF_22
AT29,22,IO_L5P_22
AR29,22,IO_L5N_22
BA32,22,IO_L6P_22
AY33,22,IO_L6N_22
AT30,22,IO_L7P_22
AR30,22,IO_L7N_22
BA30,22,IO_L8P_SRCC_22
AY30,22,IO_L8N_SRCC_22
AM26,22,IO_L9P_MRCC_22
AL26,22,IO_L9N_MRCC_22
AN28,22,IO_L10P_MRCC_22
AM27,22,IO_L10N_MRCC_22
AR27,22,IO_L11P_SRCC_22
AT27,22,IO_L11N_SRCC_22
AY29,22,IO_L12P_VRN_22
BA29,22,IO_L12N_VRP_22
AT31,22,IO_L13P_22
AU31,22,IO_L13N_22
BB33,22,IO_L14P_22
BB32,22,IO_L14N_VREF_22
AU29,22,IO_L15P_22
AV29,22,IO_L15N_22
BA31,22,IO_L16P_22
BB31,22,IO_L16N_22
AU28,22,IO_L17P_22
AV28,22,IO_L17N_22
BB29,22,IO_L18P_22
BB28,22,IO_L18N_22
AW28,22,IO_L19P_22
AY28,22,IO_L19N_22
AP30,23,IO_L0P_23
AN30,23,IO_L0N_23
AM31,23,IO_L1P_23
AL31,23,IO_L1N_23
AL29,23,IO_L2P_23
AL30,23,IO_L2N_23
AM33,23,IO_L3P_23
AM32,23,IO_L3N_23
AN29,23,IO_L4P_23
AM29,23,IO_L4N_VREF_23
AN33,23,IO_L5P_23
AN34,23,IO_L5N_23
AL27,23,IO_L6P_23
AM28,23,IO_L6N_23
AP31,23,IO_L7P_23
AN31,23,IO_L7N_23
AK28,23,IO_L8P_SRCC_23
AK29,23,IO_L8N_SRCC_23
AJ25,23,IO_L9P_MRCC_23
AK25,23,IO_L9N_MRCC_23
AH24,23,IO_L10P_MRCC_23
AH25,23,IO_L10N_MRCC_23
AR34,23,IO_L11P_SRCC_23
AP33,23,IO_L11N_SRCC_23
AH28,23,IO_L12P_VRN_23
AJ28,23,IO_L12N_VRP_23
AP32,23,IO_L13P_23
AR32,23,IO_L13N_23
AG28,23,IO_L14P_23
AG27,23,IO_L14N_VREF_23
AR33,23,IO_L15P_23
AT32,23,IO_L15N_23
AK27,23,IO_L16P_23
AJ27,23,IO_L16N_23
AU33,23,IO_L17P_23
AU32,23,IO_L17N_23
AJ26,23,IO_L18P_23
AH26,23,IO_L18N_23
AV33,23,IO_L19P_23
AW33,23,IO_L19N_23
AE30,24,IO_L0P_GC_24
AF30,24,IO_L0N_GC_24
W30,24,IO_L1P_GC_24
V30,24,IO_L1N_GC_24
AG32,24,IO_L2P_D15_24
AF31,24,IO_L2N_D14_24
T30,24,IO_L3P_D13_24
R30,24,IO_L3N_D12_24
AH31,24,IO_L4P_D11_24
AG31,24,IO_L4N_VREF_D10_24
N33,24,IO_L5P_D9_24
P33,24,IO_L5N_D8_24
AJ33,24,IO_L6P_D7_24
AH33,24,IO_L6N_D6_24
P32,24,IO_L7P_D5_24
R33,24,IO_L7N_D4_24
AK33,24,IO_L8P_SRCC_24
AJ32,24,IO_L8N_SRCC_24
Y30,24,IO_L9P_MRCC_24
AA30,24,IO_L9N_MRCC_24
AA31,24,IO_L10P_MRCC_24
AB31,24,IO_L10N_MRCC_24
R32,24,IO_L11P_SRCC_24
T32,24,IO_L11N_SRCC_24
AK32,24,IO_L12P_D3_24
AL32,24,IO_L12N_D2_FS2_24
T31,24,IO_L13P_D1_FS1_24
U31,24,IO_L13N_D0_FS0_24
AH30,24,IO_L14P_FCS_B_24
AJ30,24,IO_L14N_VREF_FOE_B_MOSI_24
V31,24,IO_L15P_FWE_B_24
W31,24,IO_L15N_RS1_24
AJ31,24,IO_L16P_RS0_24
AK30,24,IO_L16N_CSO_B_24
AC31,24,IO_L17P_VRN_24
AC30,24,IO_L17N_VRP_24
AH29,24,IO_L18P_24
AG29,24,IO_L18N_24
AD31,24,IO_L19P_24
