"Manufacturer";"PartNum";"Description";"Designator";"Quantity";"Rating";"Tolerance";"Value";"POD number"
"Micrel";"SY89832UMG";"2.5 C Ultra-precision 1:4 LVDS Fanout Buffer/Translator with Interal Termination";"U32, U54, U84";"3";;;;"IC-LOG-14"
"Microchip";"93LC56B/SN";"2K Microwire Compatible Serial EEPROM";"U34";"1";;;;"IC-MEM-3"
"Micron";"MT47H128M16HG-37E";"2Gb, x16, BGA84 DDR2 SDRAM IC";"U42, U43, U44, U45";"4";;;;"IC-MEM-2"
"Molex";"0015912100";"2x5, 2.54 mm Pitch, Male Header";"P6, P14";"2";;;;"CONN-PCB-12"
"Molex";"0022032021";"1x2, 2.56mm, Header/Jumper";"JP1, JP2";"2";;;;"CONN-PCB-14"
"Molex";"0022232031";"3-pin ATX Fan Connector";"J2, J3, J4, J5";"4";;;;"CONN-PCB-6"
"Molex";"0442060007";"24-Pin ATX Connector";"J1";"1";;;;"CONN-PCB-5"
"Molex";"0894858001";"Right angle, Through-hole, USB Type A Receptacle";"P4";"1";;;;"CONN-PCB-18"
"Molex";"5035000991";"Push/Push SD Card Connector with Card Detection";"P8";"1";;;;"CONN-PCB-24"
"Molex";"67068-8001";"Right angle, Through-hole, USB Type B Receptacle";"P3";"1";;;;"CONN-PCB-25"
"Murata";"BLM18PG181SN1";"180 Ohm, Chip Ferrite Brad";"L8, L11, L14";"3";"1500mA";"25%";"180R";"IND-FB-2"
"Murata";"BLM21BD601SN1";"600 Ohm, Chip Ferrite Bead";"L9, L10, L12, L13, L15, L16, L17, L18, L19, L20, L21, L23, L24, L25, L26";"15";"200mA";"25%";"600R";"IND-FB-0"
"Murata";"BLM31PG121SN1";"120 Ohm, Chip Ferrite Brad";"L1, L2, L3, L4, L5, L6, L7";"7";"3000mA";"25%";"120R";"IND-FB-1"
"MURATA";"GRM1555C1H220JZ01D";"22pF, Ceramic Capacitor";"C169, C186, C187, C189, C190";"5";"50V";"5%";"22pF";"CAP-CER-2"
"MURATA";"GRM155R60J474KE19";"0.47uF, Ceramic Capacitor";"C37, C38, C202, C203, C204, C208, C209, C210, C327, C328, C329, C330, C331, C332, C333, C334, C335, C336, C337, C338, C339, C340, C341, C342, C343, C345, C346, C347, C348, C349, C350, C351, C352, C353, C354, C355, C356, C357, C358, C359, C360, C368, C382, C384, C398, C400, C402, C405, C410, C412, C414, C417, C521, C531, C541, C551, C552, C553, C554, C555, C556, C557, C558, C559, C560, C561, C562, C563, C564, C565, C581, C591, C601, C613, C614, C615, C616, C617, C618, C620, C621, C622, C623, C624, C625";"85";"6.3V";"10%";"0.47uF";"CAP-CER-7"
"MURATA";"GRM155R61H102KA01D";"1000pF, Ceramic Capacitor";"C60, C80, C84, C93, C184, C218, C275, C294, C501, C503, C568, C611, C628, C665, C680, C751, C753, C763, C765";"19";"50V";"10%";"1000pF";"CAP-CER-4"
